iter	MultiClass
143	0.333045647
144	0.3324264674
145	0.33194793
146	0.3306852895
147	0.3298454653
148	0.3288317312
149	0.3283108454
150	0.3277458607
151	0.3269999724
152	0.3266394332
153	0.3260921898
154	0.3252387306
155	0.3247065402
156	0.3241130137
157	0.3229773817
158	0.3223332016
159	0.32161172
160	0.3209826646
161	0.320322045
162	0.3198050648
163	0.3191638737
164	0.3185923842
165	0.3179636318
166	0.3174006752
167	0.3168942018
168	0.3165243982
169	0.3161743658
170	0.3157933887
171	0.3151612571
172	0.3144661246
173	0.3136203994
174	0.3127977599
175	0.3123339047
176	0.3118503531
177	0.3113159181
178	0.3107754665
179	0.3101653834
180	0.3096617771
181	0.3090884592
182	0.3081608009
183	0.3075121155
184	0.3071814544
185	0.3068099387
186	0.3061283588
187	0.3054940021
188	0.3050471914
189	0.3043756529
190	0.3040145716
191	0.3031513652
192	0.302645813
193	0.3020383414
194	0.3012704633
195	0.3008689115
196	0.3005578533
197	0.2999908372
198	0.2995680074
199	0.2986306544
200	0.2982404925
201	0.2976585953
202	0.2969378556
203	0.2964219791
204	0.2958831965
205	0.2952489664
206	0.2946671792
207	0.2943508902
208	0.293846388
209	0.2933486357
210	0.2928611699
211	0.2923173678
212	0.2918610908
213	0.2914196636
214	0.2910679232
215	0.2905573518
216	0.2900933834
217	0.2895716788
218	0.2891499635
219	0.2887864329
220	0.2883084697
221	0.2875329264
222	0.2871921796
223	0.2865845761
224	0.2858861763
225	0.2855000694
226	0.2849000773
227	0.2842892534
228	0.2839345559
229	0.283616678
230	0.2830152749
231	0.2827106988
232	0.2823220083
233	0.2818361479
234	0.2813233395
235	0.2810087079
236	0.2805043452
237	0.2797961406
238	0.2793518583
239	0.2788873893
240	0.2782620426
241	0.2779574562
242	0.2775444067
243	0.2771404121
244	0.2765891511
245	0.2762044715
246	0.2758309777
247	0.2751577861
248	0.2744741216
249	0.2741243266
250	0.2738140251
251	0.2734754655
252	0.2731568682
253	0.2726767604
254	0.2719089365
255	0.271304998
256	0.2709792357
257	0.2701007703
258	0.2697036159
259	0.2692519616
260	0.2690037039
261	0.2685930796
262	0.2682849494
263	0.2678038515
264	0.2672686243
265	0.2669956664
266	0.2665093304
267	0.2656858216
268	0.2652254255
269	0.264870524
270	0.2646364671
271	0.2641417616
272	0.2638497003
273	0.2633893253
274	0.2626632111
275	0.2621288047
276	0.261717858
277	0.2613434623
278	0.2611019144
279	0.2606449302
280	0.2603517783
281	0.2600313037
282	0.2597327564
283	0.2590601926
284	0.2586484382
285	0.258448213
286	0.2581961328
287	0.2578060434
288	0.2574054305
289	0.2571237594
290	0.2565817141
291	0.2562147086
292	0.256085024
293	0.255766325
294	0.2554277832
295	0.2550207615
296	0.2545812354
297	0.2542586005
298	0.253785896
299	0.2535573896
300	0.2529474148
301	0.252632844
302	0.2524557523
303	0.251899439
304	0.2514577663
305	0.2510742137
306	0.2502547106
307	0.2498982342
308	0.2496376876
309	0.2493831
310	0.2490863213
311	0.2487490289
312	0.2483473956
313	0.247645586
314	0.247305712
315	0.2468935397
316	0.2463514636
317	0.2458982177
318	0.2454021245
319	0.2450541444
320	0.2447930854
321	0.2442421727
322	0.2438325722
323	0.2434994297
324	0.2432787011
325	0.2427917308
326	0.2422787629
327	0.2421054505
328	0.2417470112
329	0.2414736342
330	0.2412161184
331	0.2408191601
332	0.2401096033
333	0.2397056627
334	0.2392641237
335	0.2389679908
336	0.2385357683
337	0.2383680921
338	0.2379478066
339	0.2376491648
340	0.2372134783
341	0.2369987315
342	0.2367034932
343	0.2365450794
344	0.2360299742
345	0.2356820435
346	0.2351395303
347	0.2348422966
348	0.2345976704
349	0.2344453003
350	0.2339984444
351	0.2336668654
352	0.2333468677
353	0.2330174368
354	0.2325295422
355	0.231996063
356	0.2316647786
357	0.2313248324
358	0.2310624292
359	0.2308206035
360	0.2306321012
361	0.2303098414
362	0.2299684518
363	0.2297654677
364	0.2294109106
365	0.2290790584
366	0.2288386096
367	0.2285105056
368	0.2279350294
369	0.2276960681
370	0.227369734
371	0.2271181699
372	0.2267042549
373	0.2261637326
374	0.2259492278
375	0.225646897
376	0.2253041905
377	0.2251931611
378	0.2249352506
379	0.2246710634
380	0.2244663985
381	0.2238736897
382	0.2234302847
383	0.2231698044
384	0.2230137516
385	0.2225240651
386	0.2222098404
387	0.2220943512
388	0.2216680648
389	0.2213969871
390	0.2209345637
391	0.2205739932
392	0.2202415038
393	0.2199837932
394	0.2196869409
395	0.2194938037
396	0.219308309
397	0.2189734083
398	0.2186186398
399	0.2183793874
400	0.2180721513
401	0.2177421117
402	0.217371888
403	0.2170001194
404	0.216592928
405	0.2162153667
406	0.2157521359
407	0.2155949942
408	0.2153087984
409	0.2150134209
410	0.2143989078
411	0.2139857475
412	0.2136951863
413	0.213443246
414	0.2130016084
415	0.2127282766
416	0.2123979492
417	0.2117211318
418	0.2115360178
419	0.2111877254
420	0.2108579736
421	0.2106608014
422	0.2103605709
423	0.2101074841
424	0.2098127985
425	0.2094795422
426	0.209180354
427	0.2090437249
428	0.2086146221
429	0.2081870212
430	0.2079287078
431	0.2075096648
432	0.2073325461
433	0.2070704813
434	0.2068563611
435	0.2065722876
436	0.2063304657
437	0.2060507612
438	0.205523521
439	0.2050832813
